IPO Status,Ticker Code,Company Name,Sector,Subsector,Listing Board,Final Price (Rp),Return D1,Return D2,Return D3,Return D4,Return D5,Return D6,Return D7,Return from Listing Date,Line of Business,Address,Website,Number of shares offered,% of Total Shares,Participant Admin,Underwriter(s),Book Building Opening,Book Building Closing,Lowest Book Building Price (Rp),Highest Book Building Price (Rp),Opening of Offering Period,Closing of Offering Period,Closing Date,Distribution Date,Listing Date,Warrant per share ratio,Exercise Price (Warrant) (Rp)
Canceled,ZEUS-C1,PT Zeus Kimiatama Indonesia Tbk,Basic Materials,Specialty Chemicals,Pengembangan,,,,,,,,,,Manufaktur dan Perdagangan Kimia Khusus,"Jl, Sungkai Blok F25 No, 09 IA Delta Silicon V, Kawasan Industri Lippo Cikarang, Kecamatan Cikarang Pusat, Kabupaten Bekasi – Jawa Barat Indonesia – 17530","https://www,zekindo,co,id/",1050000000,21.27,XA - NH KORINDO SEKURITAS INDONESIA,XA,2023-07-18,2023-07-26,100,105,,,,,,0.5,
Closed,MAHA,PT Mandiri Herindo Adiperkasa Tbk,Energy,Coal Distribution,Utama,118.0,0.3474576271186441,0.34591194968553457,0.0,0.06542056074766354,0.20175438596491227,0.0072992700729927005,-0.007246376811594203,0.5254237288135594,Aktivitas jasa penunjang pertambangan,"Gedung Office 8, Lantai 31 Unit A Jl, Senopati Raya No,8B, SCBD Lot 28, Kav, 52-53 Jakarta 12190, Indonesia","https://www,mha,co,id",4166000000,25.0,"LG - TRIMEGAH SEKURITAS INDONESIA TBK,",LG,2023-06-26,2023-07-06,118,128,2023-07-18,2023-07-21,2023-07-21,2023-07-24,2023-07-25,0.0,
Canceled,BITU-C1,PT BERKAH MULIA MANDIRI TBK,Industrials,Diversified Industrial Trading,Pengembangan,,,,,,,,,,Bidang Perdagangan Bitumen dan Pengelola Terminal Bitumen,"Jl, Margomulyo Industri I Blok C 10 Komplek Suri Mulia, Tambak Sarioso, Asemrowo, Surabaya 60184","https://www,berkahmuliamandiri,co,id",550000000,31.3,XA - NH KORINDO SEKURITAS INDONESIA,XA,2023-07-20,2023-07-25,131,140,,,,,,0.25,
Closed,INET,PT Sinergi Inti Andalan Prima Tbk,Technology,Networking Equipment,Pengembangan,101.0,0.3465346534653465,0.27205882352941174,0.1329479768786127,-0.05102040816326531,0.08602150537634409,0.019801980198019802,0.0,6.871287128712871,Bergerak di bidang Teknologi Informasi,"Gedung Cyber 1, Lantai 10, Jl, Kuningan Barat No,8, Jakarta Selatan 12710","https://siapnetworks,co,id/",1500000000,20.0,AH - SHINHAN SEKURITAS INDONESIA,AH,2023-06-26,2023-07-05,100,101,2023-07-17,2023-07-20,2023-07-20,2023-07-21,2023-07-24,1.4,91.0
Canceled,AKSL-C1,PT Akselerasi Usaha Indonesia Tbk,Financials,Financial Holdings,Utama,,,,,,,,,,Penyedia LPBBTI atau P2P Lending melalui Entitas Anak dan Perusahaan Holding,"Sahid Sudirman Center Lantai 11 Unit G, Jl, Jendral Sudirman Kav,86, Jakarta Pusat 10220","https://www,akselerangroup,com",2988493800,29.0,OD - BRI DANAREKSA SEKURITAS,"OD,SQ",2023-07-03,2023-07-21,100,120,,,,,,0.1,0.0
Closed,WIDI,PT Widiant Jaya Krenindo Tbk,Industrials,Construction Machinery & Heavy Vehicles,Akselerasi,100.0,0.1,0.1,0.09917355371900827,-0.09774436090225563,-0.1,-0.09259259259259259,0.08163265306122448,-0.63,Bergerak dalam Bidang Jasa Sewa Alat Berat Beserta Operator,"Jl, Teh No, 4-6, RT,7/RW,3, Kel, Pinangsia, Kec, Taman Sari, Jakarta Barat, 11110, Indonesia","https://www,ptwidi,com/",400000000,25.0,SH - ARTHA SEKURITAS INDONESIA,SH,2023-06-16,2023-06-22,100,115,2023-07-04,2023-07-06,2023-07-06,2023-07-07,2023-07-10,1.05,120.0
Closed,GRPM,PT Graha Prima Mentari Tbk,Transportation & Logistic,Logistics & Deliveries,Akselerasi,120.0,-0.1,-0.09259259259259259,-0.09183673469387756,0.0,-0.056179775280898875,0.09523809523809523,-0.06521739130434782,-0.49166666666666664,Bidang Usaha Distribusi Minuman Berkarbonasi,"Jl, Tuparev No, 87A, Cirebon - Jawa Barat","https://grahaprimamentari,co,id/",309000000,20.0,XA - NH KORINDO SEKURITAS INDONESIA,XA,2023-06-15,2023-06-20,120,130,2023-07-04,2023-07-06,2023-07-06,2023-07-07,2023-07-10,0.5,250.0
Closed,CRSN,PT Carsurin Tbk,Industrials,Business Support Services,Pengembangan,125.0,0.144,-0.14685314685314685,-0.00819672131147541,-0.024793388429752067,-0.0423728813559322,-0.05309734513274336,-0.07476635514018691,0.08,"Testing, Inspection, Certification","SOHO CAPITAL, 28th Floor Jl, Letjen S, Parman Kav,28, Grogol Petamburan, Jakarta Barat","https://www,carsurin,com",600000000,20.75,XA - NH KORINDO SEKURITAS INDONESIA,XA,2023-06-16,2023-06-21,120,125,2023-07-04,2023-07-06,2023-07-06,2023-07-07,2023-07-10,0.0,
Closed,TGUK,PT Platinum Wahab Nusantara Tbk,Consumer Non-Cyclicals,Food Retail & Distributors,Pengembangan,110.0,0.34545454545454546,-0.14864864864864866,0.07142857142857142,0.014814814814814815,0.014598540145985401,-0.14388489208633093,-0.14285714285714285,0.24545454545454545,Makanan dan Minuman,"Ruko Golden Square Blok GS No, 2 Jl, Ciater Raya, Kelurahan Mekarjaya, Kecamatan Serpong Tangerang Selatan, Banten 15321","https://teguk,co,id/",1071429000,30.0,MG - SEMESTA INDOVEST SEKURITAS,MG,2023-06-19,2023-06-23,105,112,2023-07-04,2023-07-06,2023-07-06,2023-07-07,2023-07-10,0.4,152.0
Closed,AMMN,"PT Amman Mineral Internasional Tbk,",Basic Materials,Copper,Utama,1695.0,0.035398230088495575,-0.002849002849002849,0.0,0.008571428571428572,-0.0028328611898017,0.011363636363636364,0.011235955056179775,2.9233038348082596,Aktivitas Perusahaan Holding,"Gedung Menara Karya Lantai 6 Unit A, B, C dan H Jl, H,R, Rasuna Said Blok X-5 Kav, 1-2 Jakarta Selatan 12950","https://www,amman,co,id",6328208800,8.8,CC - MANDIRI SEKURITAS,"CC,DP,IF,KZ,NI,OD,ZP",2023-05-31,2023-06-16,1650,1775,2023-07-03,2023-07-05,2023-07-05,2023-07-06,2023-07-07,0.0,
